Failas	Tema	Straipsnio_pavadinimas	Vertinamas_teiginys	Publikavimo_data	Nuoroda	Žodžių_skaičius	Paneigė	Paneigimo_nuoroda
UN_SOC_04	Kita	Vilniuje šarvojimo metu apmyžtas Mark Zinger	Vilniuje šarvojimo metu apšlapintas Markas Zingeris. Sulaikytas antisemitas, policija pradėjo tyrimą 	2023-04-22	https://20min.lt/straipsnis/27838/vilniuje-sarvojimo-metu-apmyztas-mark-zinger	99	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skleidzia-mela-kad-per-sermenis-buvo-isniekintas-velionis-markas-zingeris.d?id=93164845
UN_SOC_05	Kita	Justinas Trudeau legalizuos vaikams skirtus sunkiuosius narkotikus: "Atėjo laikas destigmatizuoti A klasės narkotikus"	Justinas Trudeau paskelbė apie planus legalizuoti vaikams skirtus sunkiuosius narkotikus, įskaitant heroiną ir kreką, kaip dalį naujos radikalios politikos, kuria siekiama destigmatizuoti narkomaniją	2023-04-05	https://paranormal.lt/justinas-trudeau-legalizuos-vaikams-skirtus-sunkiuosius-narkotikus	255	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-kanadoje-bus-legalizuoti-narkotikai-o-juos-gales-vartoti-ir-vaikai.d?id=93148859
UN_SOC_06	Kita	JT teisės ekspertų šokiruojanti ataskaita atveria vartus į sekso su vaikais normalizavimą 	JT teisės ekspertų ataskaita atveria vartus į sekso su vaikais normalizavimą	2023-04-19	https://infa.lt/88511/jt-teises-ekspertu-sokiruojanti-ataskaita-atveria-vartus-i-sekso-su-vaikais-normalizavima/	649	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jt-siekia-dekriminalizuoti-ir-normalizuoti-lytinius-santykius-su-nepilnameciais.d?id=93148507
UN_SOC_07	Kita	Žengti pirmieji žingsniai dekriminalizuojant pedofiliją	JT teisės ekspertų ataskaita atveria vartus į sekso su vaikais normalizavimą	2023-04-19	https://77.lt/zengti-pirmieji-zingsniai-dekriminalizuojant-pedofilija	1017	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jt-siekia-dekriminalizuoti-ir-normalizuoti-lytinius-santykius-su-nepilnameciais.d?id=93148507
UN_SOC_08	Kita	Jungtinių Tautų dokumentas siūlo dekriminalizuoti pedofiliją	JT teisės ekspertų ataskaita atveria vartus į sekso su vaikais normalizavimą	2023-04-27	https://www.laikmetis.lt/jungtiniu-tautu-dokumentas-siulo-dekriminalizuoti-pedofilija/	316	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jt-siekia-dekriminalizuoti-ir-normalizuoti-lytinius-santykius-su-nepilnameciais.d?id=93148507
UN_SOC_09	Kita	Kita seksualiai ištvirkusių kairiųjų riba: įteisinti pedofiliją 	JT teisės ekspertų ataskaita atveria vartus į sekso su vaikais normalizavimą	2023-05-16	https://www.sarmatas.lt/05/kita-seksualiai-istvirkusiu-kairiuju-riba-iteisinti-pedofilija/	1042	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jt-siekia-dekriminalizuoti-ir-normalizuoti-lytinius-santykius-su-nepilnameciais.d?id=93148507
UN_COV_05	Covid-19	Covid vakcinos sukelia vyrų nevaisingumą ir prostatos vėžį	COVID-19 vakcinos daro neigiamą poveikį vaisingumui ir reprodukcijai	2021-06-16	https://paranormal.lt/marmalo-vakcinos-sukelia-vyru-nevaisinguma-ir-prostatos-vezi	530	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skleidzia-mela-jog-vakcinos-sukurtos-sumazinti-populiacija.d?id=90666683
UN_COV_06	Covid-19	Koronės konferencija Peterburge. Gaugybė valdžios nusikaltimus demaskuojančių faktų	COVID-19 vakcinos daro neigiamą poveikį vaisingumui ir reprodukcijai	2021-10-23	https://20min.lt/straipsnis/21452/korones-konferencija-peterburge-gaugybe-valdzios-nusikaltimus-demaskuojanciu-faktu	2966	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skleidzia-mela-jog-vakcinos-sukurtos-sumazinti-populiacija.d?id=90666683
UN_SVE_07	Sveikata	Naudojant vakcinas B. Geitsas mažins žmonijos populiaciją	Billas Gatesas vakcinomis siekia sumažinti žmonijos populiaciją	2023-05-19	https://anomalija.lt/2013/05/naudojant-vakcinas-b-geitsas-mazins-zmonijos-populiacija/	1899	15min	https://www.15min.lt/naujiena/aktualu/lietuva/ne-billas-gatesas-vakcinomis-nesiekia-sumazinti-zmonijos-populiacija-56-1299088
UN_COV_07	Covid-19	CBS orų pranešėja griūva tiesioginiame eteryje	CBS orų pranešėja Alissa Carlson nualpo tiesioginiame eteryje. <...> Nors tiksli jos alpimo priežastis nežinoma, toks sąmonės praradimas tiesioginiame eteryje atitinka panašų modelį, pastebėtą nuo eksperimentinių COVID injekcijų įvedimo, kai žmonės nepaaiškinamai alpdavo daug kartų tiesioginiame eteryje 	2023-03-20	https://paranormal.lt/cbs-oru-praneseja-griuva-tiesioginiame-eteryje	241	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-tiesioginiame-eteryje-oru-praneseja-nualpo-del-covid-19-vakcinos-poveikio.d?id=92953557
UN_SVE_08	Sveikata	Baidenas paskelbė planą į milijonus viščiukų pumpuoti Bilo Geitso mRNA	Prezidentas Joe Bidenas paskelbė apie planus į šimtus milijonų amerikiečių viščiukų įskiepyti mRNA vakcinas	2023-03-12	https://paranormal.lt/baidenas-paskelbe-visciuku-pumpuoti-bilo-geitso-mrna	1020	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-bidenas-nurode-mrnr-vakcinomis-skiepyti-jav-visciukus.d?id=92934455
UN_POL_04	Politika	Išslaptinti dokumentai atskleidžia, kad Laimo liga yra JAV vyriausybės sukurtas biologinis ginklas	Išslaptinti dokumentai atskleidžia, kad Laimo liga yra JAV vyriausybės sukurtas biologinis ginklas	2023-03-17	https://paranormal.lt/laimo-liga-jav-vyriausybes-sukurtas-biologinis-ginklas	1006	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jav-laimo-liga-sukure-kaip-biologini-ginkla.d?id=92914905
UN_POL_05	Politika	JAV politikai nori žinoti ar armija naudojo erkes kaip biologinį ginklą	Išslaptinti dokumentai atskleidžia, kad Laimo liga yra JAV vyriausybės sukurtas biologinis ginklas	2019-06-20	https://infa.lt/34938/jav-politikai-nori-zinoti-ar-armija-naudojo-erkes-kaip-biologini-ginkla/	324	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jav-laimo-liga-sukure-kaip-biologini-ginkla.d?id=92914905
UN_POL_06	Politika	JAV naudojo užkrėstas erkes kaip biologinį ginklą?	Išslaptinti dokumentai atskleidžia, kad Laimo liga yra JAV vyriausybės sukurtas biologinis ginklas	2019-07-19	https://www.minfo.lt/posts/jav-naudojo-uzkrestas-erkes-kaip-biologini-ginkla	146	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jav-laimo-liga-sukure-kaip-biologini-ginkla.d?id=92914905
UN_SVE_09	Sveikata	Komercinis, smarkiai perdirbtas migdolų "pienas" yra nesveikas (tačiau naminis žalias variantas yra sveikas ir skanus)	Komercinis, smarkiai perdirbtas migdolų „pienas“ yra nesveikas	2023-03-21	https://paranormal.lt/migdolu-pienas	484	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-migdolu-pienas-yra-nesveikas.d?id=92890549
UN_COV_08	Covid-19	Robertas F. Kenedis jaunesnysis: "Fauci turi būti apkaltintas žmogžudyste, nes jis žinojo, kad "Remdesivir" jus nužudys	Remdisiviras yra nepakankamai veiksmingas ir COVID-19 pacientams gali sukelti „didelį organų nepakankamumą“ 	2023-07-22	https://paranormal.lt/news-2023-07-22-14	318	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-vaistas-remdesiviras-toks-pavojingas-ir-neefektyvus.d?id=92880985
UN_POL_07	Politika	Haičio tragedija ir HAARP	JAV įrenginys HAARP, gali sukelti gaisrus, žemės drebėjimus ir sunaikinti viską žemėje 	2010-01-16	https://slaptai.lt/haicio-tragedija-ir-haarp/	1422	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/baksnoja-i-niekada-nerealizuota-patenta-siuo-prietaisu-jie-valdo-orus.d?id=84387995  
UN_POL_08	Politika	Iraną bombarduoja žemės drebėjimai	JAV įrenginys HAARP, gali sukelti gaisrus, žemės drebėjimus ir sunaikinti viską žemėje 	2013-04-18	https://ekspertai.eu/irana-bombarduoja-zemes-drebejimai	252	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/baksnoja-i-niekada-nerealizuota-patenta-siuo-prietaisu-jie-valdo-orus.d?id=84387996
UN_POL_09	Politika	Manipuliavimo oru ir zombių sukūrimo projektai	JAV įrenginys HAARP, gali sukelti gaisrus, žemės drebėjimus ir sunaikinti viską žemėje 	2021-04-28	https://paranormal.lt/manipuliavimo-oru-ir-zombiu-sukurimo-projektai	1750	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/baksnoja-i-niekada-nerealizuota-patenta-siuo-prietaisu-jie-valdo-orus.d?id=84387995
UN_SOC_10	Kita	Zoofilijos dekriminalizavimas skinasi kelią Europos Sąjungoje, eilėje – dekriminalizuota pedofilija	Ispanija patvirtino Baudžiamojo kodekso pataisas, pagal kurias zoofilai tik tada bus laikomi nusikaltėliais, jei lytinių santykių metu sužalos ar nužudys gyvūną	2023-02-23	https://ekspertai.eu/zoofilijos-dekriminalizavimas-skinasi-kelia-europos-sajungojeeileje-dekriminalizuota-pedofilija/	180	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-europos-sajungoje-bus-dekriminalizuota-zoofilija.d?id=92663671
UN_COV_09	Covid-19	Vaikų mirčių skaičius po koronės marmalizacijos Europoje išaugo 1580 proc.	EMA (Europos vaistų agentūra – Red.) patvirtinus vaikams skirtą COVID-19 vakciną, jų mirčių skaičius Europoje išaugo 1580 proc 	2023-02-19	https://paranormal.lt/medicinos-naujienos-vaiku-mirciu-skaicius-po-korones?fbclid=IwAR166yl90JRBPK5xvkr3oPbUtpxhScmc3FB1Eev2Qd8Fi__mHqM2uiBhmS4	950	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-del-covid-19-vakcinos-europoje-mire-daug-vaiku.d?id=92653749
UN_COV_10	Covid-19	Remiantis nauju tyrimu, vakcinos nuo COVID-19 sukelia greitą senėjimą, pažeisdamos visus organus	Remiantis nauju tyrimu, vakcinos nuo COVID-19 sukelia greitą senėjimą, pažeisdamos visus organus. Pasak mokslininkų, skiepų baltymai tiesiogine prasme patenka į kiekvieną kūno organą ir, patekę ten, sukelia itin pagreitintą organizmo senėjimą	2023-02-09	https://www.minfo.lt/mokslas/straipsnis/remiantis-nauju-tyrimu-vakcinos-nuo-covid-19-sukelia-greita-senejima-pazeisdamos-visus-organus	142	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-covid-19-vakcinos-pagreitina-senejima.d?id=92653533
UN_COV_11	Covid-19	Anthony Fauci dokumentas atskleidžia, kad pareigūnai žinojo, jog COVID vakcinos yra ‘pavojingos žmonėms’	Anthony Fauci žinojo, kad COVID-19 vakcinos yra pavojingos žmonėms ir nenaudingos infekcijos prevencijai, teigiama naujame JAV vyriausybės paskelbtame dokumente.	2023-02-10	https://paranormal.lt/medicinos-naujienos-fauci-dokumentas-2023-02-10	801	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-fauci-paskelbe-jog-covid-19-vakcinos-yra-pavojingos.d?id=92594207
UN_COV_12	Covid-19	CDC įspėja, kad kelios COVID injekcijos "sutrumpina gyvenimo trukmę 24 metais	JAV Ligų kontrolės ir prevencijos centras (CDC) įspėjo, kad daugkartiniai COVID-19 skiepai sutrumpina žmogaus gyvenimo trukmę iki 24 metų. Remiantis CDC duomenimis apie mirtingumą dėl visų priežasčių, COVID-19 skiepai naikina imuninę sistemą tokiu greičiu, kuris su kiekvienais metais nuolat didėja	2023-02-10	https://paranormal.lt/medicinos-naujienos-cdc-ispeja-senejimas	293	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-covid-19-vakcinos-gyvenimo-trukme-sutrumpina-24-metais.d?id=92593055
