Failas	Tema	Straipsnio_pavadinimas	Publikavimo_data	Nuoroda	Žodžių_skaičius
LRT_UKR_013	Karas Ukrainoje	Analitikai: darbo jėgos trūkumas verčia Rusiją laviruoti tarp migrantų ir ksenofobiškos visuomenės	2024.01.08	https://www.lrt.lt/naujienos/pasaulyje/6/2165502/analitikai-darbo-jegos-trukumas-vercia-rusija-laviruoti-tarp-migrantu-ir-ksenofobiskos-visuomenes	446
LRT_UKR_014	Karas Ukrainoje	Ukraina svarsto mobilizuoti užsienyje gyvenančius vyrus – už tėvynę kovojantys kariai pavargę, reikalinga pamaina	2024.01.13	https://www.lrt.lt/naujienos/pasaulyje/6/2170337/ukraina-svarsto-mobilizuoti-uzsienyje-gyvenancius-vyrus-uz-tevyne-kovojantys-kariai-pavarge-reikalinga-pamaina	492
LRT_UKR_015	Karas Ukrainoje	LRT iš Odesos. Vieni atvyksta viską praradę, kiti gyvena įprastai: Odesos gyventojams karas nevyksta	2024.01.08	https://www.lrt.lt/naujienos/pasaulyje/6/2163637/lrt-is-odesos-vieni-atvyksta-viska-prarade-kiti-gyvena-iprastai-odesos-gyventojams-karas-nevyksta	3259
LRT_UKR_016	Karas Ukrainoje	Charkivo „Rembo“ vadinamas savanoris vienišius jau nukovė virš trisdešimt okupantų	2024.01.06	https://www.lrt.lt/naujienos/pasaulyje/6/2164424/charkivo-rembo-vadinamas-savanoris-vienisius-jau-nukove-virs-trisdesimt-okupantu	1326
LRT_UKR_017	Karas Ukrainoje	Filosofas Mažeikis apie „Vičiūnų grupės“ situaciją: apskritai mes esame dviveidžiai	2024.01.05	https://www.lrt.lt/naujienos/lietuvoje/2/2164758/filosofas-mazeikis-apie-viciunu-grupes-situacija-apskritai-mes-esame-dviveidziai	1508
LRT_UKR_018	Karas Ukrainoje	„Blue / Yellow“ atstovas apie Rusijos nepaliekančius verslus: akivaizdus noras uždirbti visus pasaulio pinigus	2024.01.05	https://www.lrt.lt/naujienos/verslas/4/2164636/blue-yellow-atstovas-apie-rusijos-nepaliekancius-verslus-akivaizdus-noras-uzdirbti-visus-pasaulio-pinigus	763
LRT_UKR_019	Karas Ukrainoje	Pagalbai Ukrainai sumažėjus beveik 90 procentų, Ukrainos ministras pabrėžia – neturime plano B	2024.01.04	https://www.lrt.lt/naujienos/pasaulyje/6/2163754/pagalbai-ukrainai-sumazejus-beveik-90-procentu-ukrainos-ministras-pabrezia-neturime-plano-b	545
LRT_UKR_020	Karas Ukrainoje	Ekspertas ragina stiprinti Ukrainos oro gynybą: amunicija gali baigtis artimiausiomis savaitėmis	2024.01.04	https://www.lrt.lt/naujienos/pasaulyje/6/2163860/ekspertas-ragina-stiprinti-ukrainos-oro-gynyba-amunicija-gali-baigtis-artimiausiomis-savaitemis	408
LRT_UKR_021	Karas Ukrainoje	Analitikai: Rusijoje kalbama apie konfliktus su Baltijos ir Šiaurės šalimis panašiai, kaip apie Ukrainą	2024.01.04	https://www.lrt.lt/naujienos/pasaulyje/6/2163370/analitikai-rusijoje-kalbama-apie-konfliktus-su-baltijos-ir-siaures-salimis-panasiai-kaip-apie-ukraina	306
LRT_UKR_022	Karas Ukrainoje	Vokietijos generolas: nedarome skirties tarp savo šalies ir NATO sąjungininkų gynybos	2024.01.13	https://www.lrt.lt/naujienos/pasaulyje/6/2164381/vokietijos-generolas-nedarome-skirties-tarp-savo-salies-ir-nato-sajungininku-gynybos	881
LRT_UKR_023	Karas Ukrainoje	Karo diskursą tyrusi mokslininkė: dabar apie didelius aukų skaičius jau lyg perskaitome ramiau, prie kavos	2024.01.13	https://www.lrt.lt/naujienos/mokslas-ir-it/11/2169442/karo-diskursa-tyrusi-mokslininke-dabar-apie-didelius-auku-skaicius-jau-lyg-perskaitome-ramiau-prie-kavos	1209
LRT_UKR_024	Karas Ukrainoje	Rusijos karas prieš Ukrainą. Zelenskis: Rusija rengiasi „kažkam globalaus“	2024.01.13	https://www.lrt.lt/naujienos/pasaulyje/6/2170058/rusijos-karas-pries-ukraina-zelenskis-rusija-rengiasi-kazkam-globalaus	317
LRT_UKR_025	Karas Ukrainoje	Rusijos karas prieš Ukrainą. Zelenskis ir Sunakas pasirašė saugumo garantijas Ukrainai	2024.01.12	https://www.lrt.lt/naujienos/pasaulyje/6/2169240/rusijos-karas-pries-ukraina-zelenskis-ir-sunakas-pasirase-saugumo-garantijas-ukrainai	378
LRT_UKR_026	Karas Ukrainoje	Karšta Ukrainos mobilizacijos „bulvė“ – naujas įstatymas įvarė pleištą tarp Zelenskio ir kariuomenės	2024.01.11	https://www.lrt.lt/naujienos/pasaulyje/6/2168440/karsta-ukrainos-mobilizacijos-bulve-naujas-istatymas-ivare-pleista-tarp-zelenskio-ir-kariuomenes	1236
LRT_UKR_027	Karas Ukrainoje	Okupantai rusai sugalvojo dar vieną cinišką ukrainiečių „pasportizacijos“ būdą	2024.01.11	https://www.lrt.lt/naujienos/pasaulyje/6/2169179/okupantai-rusai-sugalvojo-dar-viena-ciniska-ukrainieciu-pasportizacijos-buda	144
LRT_APL_001	Aplinkosauga	JT: Žemė sušils iki 2,9 laipsnio Celsijaus net ir laikantis esamų politikos įsipareigojimų	2023.11.20	https://www.lrt.lt/naujienos/mokslas-ir-it/11/2129033/jt-zeme-susils-iki-2-9-laipsnio-celsijaus-net-ir-laikantis-esamu-politikos-isipareigojimu	570
LRT_APL_002	Aplinkosauga	Laivas vandenyne „pametė“ šešis konteinerius – ispanai nuogąstauja dėl milijardų plastiko granulių paplūdimiuose	2024.01.12	https://www.lrt.lt/naujienos/pasaulyje/6/2169534/laivas-vandenyne-pamete-sesis-konteinerius-ispanai-nuogastauja-del-milijardu-plastiko-granuliu-papludimiuose	359
LRT_APL_003	Aplinkosauga	Ieva Budraitė. 2023-iųjų aplinkosauginiai šuoliai ir nuopuoliai Lietuvoje	2023.12.31	https://www.lrt.lt/naujienos/pozicija/679/2160968/ieva-budraite-2023-iuju-aplinkosauginiai-suoliai-ir-nuopuoliai-lietuvoje	1229
LRT_APL_004	Aplinkosauga	Uoliai rūšiuosime maisto atliekas? Tinkamai pasiruošusios tik kelios savivaldybės	2023.12.30	https://www.lrt.lt/naujienos/lietuvoje/2/2160400/uoliai-rusiuosime-maisto-atliekas-tinkamai-pasiruosusios-tik-kelios-savivaldybes	449
LRT_APL_005	Aplinkosauga	Trumpalaikis grožis – ilgalaikės pasekmės: kiek fejerverkai pavojingi žmonių sveikatai, gyvūnams ir aplinkai?	2023.12.28	https://www.lrt.lt/naujienos/mokslas-ir-it/11/2156901/trumpalaikis-grozis-ilgalaikes-pasekmes-kiek-fejerverkai-pavojingi-zmoniu-sveikatai-gyvunams-ir-aplinkai	1207
LRT_APL_006	Aplinkosauga	Kas silpnina Golfo srovę ir ar ji tikrai išnyks? 	2024.01.12	https://www.lrt.lt/naujienos/mokslas-ir-it/11/2168734/kas-silpnina-golfo-srove-ir-ar-ji-tikrai-isnyks	694
LRT_APL_007	Aplinkosauga	Naujas būdas išsaugoti gamtą: vis daugiau australų turtą testamentu skiria aplinkosaugai	2023.12.07	https://www.lrt.lt/naujienos/mokslas-ir-it/11/2140996/naujas-budas-issaugoti-gamta-vis-daugiau-australu-turta-testamentu-skiria-aplinkosaugai	254
LRT_APL_008	Aplinkosauga	„Mes Darom“ ir Lietuvos jūrų muziejus kviečia į aplinkosaugos festivalį Melnragėje	2023.08.11	https://www.lrt.lt/naujienos/lietuvoje/2/2054715/mes-darom-ir-lietuvos-juru-muziejus-kviecia-i-aplinkosaugos-festivali-melnrageje	331
LRT_APL_009	Aplinkosauga	Birutė Galdikas kritikuoja Lietuvos aplinkosaugos politiką: turėtume saugoti miškus	2021.10.26 	https://www.lrt.lt/naujienos/lietuvoje/2/1529378/birute-galdikas-kritikuoja-lietuvos-aplinkosaugos-politika-turetume-saugoti-miskus	1125
LRT_APL_010	Aplinkosauga	Projekto apie aplinkosaugą kūrėja: mintį, kad gyventi tvariai brangu, laikyčiau nusistovėjusiu mitu	2022.01.26	https://www.lrt.lt/naujienos/gyvenimas/13/1597921/projekto-apie-aplinkosauga-kureja-minti-kad-gyventi-tvariai-brangu-laikyciau-nusistovejusiu-mitu	721
LRT_APL_011	Aplinkosauga	Ramūnas Lydis. Aplinkosauga – ekonomikos variklis ar stabdis?	2020.09.16 	https://www.lrt.lt/naujienos/pozicija/679/1233185/ramunas-lydis-aplinkosauga-ekonomikos-variklis-ar-stabdis	725
LRT_APL_012	Aplinkosauga	Kaune atidaryta laisvalaikio aikštelė, kurios danga pagaminta iš upelyje rastų padangų	2023.08.30	https://www.lrt.lt/naujienos/gyvenimas/13/2065755/kaune-atidaryta-laisvalaikio-aikstele-kurios-danga-pagaminta-is-upelyje-rastu-padangu	553
LRT_APL_013	Aplinkosauga	Gamtos fotografas Marius Čepulis: klimato kaita į Lietuvą jau atvedė šakalus, maldininkus – kas toliau?	2023.02.17 	https://www.lrt.lt/naujienos/gyvenimas/13/1916743/gamtos-fotografas-marius-cepulis-klimato-kaita-i-lietuva-jau-atvede-sakalus-maldininkus-kas-toliau	909
LRT_APL_014	Aplinkosauga	Naujos knygos aplinkosaugos tema – vilties teikiantys pasakojimai vaikams ir suaugusiesiems	2023.01.08	https://www.lrt.lt/naujienos/mokslas-ir-it/11/1860894/naujos-knygos-aplinkosaugos-tema-vilties-teikiantys-pasakojimai-vaikams-ir-suaugusiesiems	1170
LRT_APL_015	Aplinkosauga	Žaliosios politikos instituto analitikė: užtvankos – prasto ekologinio raštingumo ženklai	2022.12.20	https://www.lrt.lt/naujienos/lietuvoje/2/1848879/zaliosios-politikos-instituto-analitike-uztvankos-prasto-ekologinio-rastingumo-zenklai	699
LRT_APL_016	Aplinkosauga	Kovos su klimato kaita dieną kviečia laikyti „Nacionalinį aplinkosaugos egzaminą“	2022.10.21 	https://www.lrt.lt/naujienos/mokslas-ir-it/11/1805495/kovos-su-klimato-kaita-diena-kviecia-laikyti-nacionalini-aplinkosaugos-egzamina	349
LRT_APL_017	Aplinkosauga	Aplinkosaugininkų nerimas prieš šildymo sezoną – sena problema gali dar labiau paūmėti	2022.10.10	https://www.lrt.lt/naujienos/mokslas-ir-it/11/1790809/aplinkosaugininku-nerimas-pries-sildymo-sezona-sena-problema-gali-dar-labiau-paumeti	419
LRT_APL_018	Aplinkosauga	Jurgita Navikienė. Ar aplinkosaugos klausimai įmonėje – buhalterio atsakomybė?	2022.08.09	https://www.lrt.lt/naujienos/verslo-pozicija/692/1756990/jurgita-navikiene-ar-aplinkosaugos-klausimai-imoneje-buhalterio-atsakomybe	646
LRT_APL_019	Aplinkosauga	Gamtosauginės Prezidento Adamkaus premijos laureatu išrinktas Giedrius Bučas	2022.04.22	https://www.lrt.lt/naujienos/lietuvoje/2/1678562/gamtosaugines-prezidento-adamkaus-premijos-laureatu-isrinktas-giedrius-bucas	706
LRT_APL_020	Aplinkosauga	Bendrovės „Grigeo Klaipėda“ iniciatyva sukėlė klausimų ir politikams, ir ministrui – nuoširdus rūpestis dėl Kuršių marių ar gudravimas prieš teismus?	2022.04.21 	https://www.lrt.lt/naujienos/lietuvoje/2/1678240/bendroves-grigeo-klaipeda-iniciatyva-sukele-klausimu-ir-politikams-ir-ministrui-nuosirdus-rupestis-del-kursiu-mariu-ar-gudravimas-pries-teismus	1358
LRT_APL_021	Aplinkosauga	Grįžta akcija „Darom“: skatins dėl gamtos padaryti daugiau – ne tik surinkti šiukšles	2022.04.12 	https://www.lrt.lt/naujienos/lietuvoje/2/1671298/grizta-akcija-darom-skatins-del-gamtos-padaryti-daugiau-ne-tik-surinkti-siuksles	343
LRT_APL_022	Aplinkosauga	Klaipėdiečiai pasijuto apgauti: „žali“ uosto įmonių žingsniai priklausys nuo verslo geranoriškumo, bet nebus privalomi	2022.04.02 	https://www.lrt.lt/naujienos/verslas/4/1654834/klaipedieciai-pasijuto-apgauti-zali-uosto-imoniu-zingsniai-priklausys-nuo-verslo-geranoriskumo-bet-nebus-privalomi	1057
LRT_APL_023	Aplinkosauga	Lietuvos ateitis – saulė ir vėjas: nuo Rusijos čiuptuvų gelbės atsinaujinanti energija, o prie jos gamybos prisidės kas trečias lietuvis	2022.03.30	https://www.lrt.lt/naujienos/lietuvoje/2/1654069/lietuvos-ateitis-saule-ir-vejas-nuo-rusijos-ciuptuvu-gelbes-atsinaujinanti-energija-o-prie-jos-gamybos-prisides-kas-trecias-lietuvis	3157
LRT_APL_024	Aplinkosauga	Mokslininkai stipriai sunerimę – vaistais užterštos upės kelia didžiulį pavojų aplinkai ir sveikatai	2022.02.15 	https://www.lrt.lt/naujienos/mokslas-ir-it/11/1616781/mokslininkai-stipriai-sunerime-vaistais-uzterstos-upes-kelia-didziuli-pavoju-aplinkai-ir-sveikatai	383
LRT_APL_025	Aplinkosauga	Aplinkos psichologė: reikia pripažinti faktą, kad visi dažnai pasielgiame taip, kaip aplinkai nėra gerai	2022.02.06 	https://www.lrt.lt/naujienos/lietuvoje/2/1585802/aplinkos-psichologe-reikia-pripazinti-fakta-kad-visi-daznai-pasielgiame-taip-kaip-aplinkai-nera-gerai	635
LRT_APL_026	Aplinkosauga	Dalis ūkininkų apie naująjį planą: pirmenybė ekologiškumui – gerai, bet tai kelia ir nerimą	2021.12.29 	https://www.lrt.lt/naujienos/verslas/4/1572568/dalis-ukininku-apie-naujaji-plana-pirmenybe-ekologiskumui-gerai-bet-tai-kelia-ir-nerima	409
LRT_APL_027	Aplinkosauga	Dešimtys nevyriausybinių organizacijų kreipėsi į šalies vadovus dėl ydingo žemės ūkio politikos formavimo	2021.12.06 	https://www.lrt.lt/naujienos/verslas/4/1557541/desimtys-nevyriausybiniu-organizaciju-kreipesi-i-salies-vadovus-del-ydingo-zemes-ukio-politikos-formavimo	376
LRT_APL_028	Aplinkosauga	Kristina Simonaitytė. Kodėl Lietuvai reikia pelkių arba ką ūkininkai galėtų padaryti dėl klimato	2021.11.25	https://www.lrt.lt/naujienos/pozicija/679/1550202/kristina-simonaityte-kodel-lietuvai-reikia-pelkiu-arba-ka-ukininkai-galetu-padaryti-del-klimato	858
LRT_APL_029	Aplinkosauga	Veidmainiška pozicija: viena ranka JAE siekia tapti neutralia aplinkai, kita – planuoja iškastinio kuro sandorius	2023.11.30	https://www.lrt.lt/naujienos/mokslas-ir-it/11/2138401/veidmainiska-pozicija-viena-ranka-jae-siekia-tapti-neutralia-aplinkai-kita-planuoja-iskastinio-kuro-sandorius	686
LT_COV_01	Covid-19	COVID-19 reagentų pirkimo byloje baigta liudytojų apklausa	2022.11.17	https://www.lrt.lt/naujienos/sveikata/682/1823761/covid-19-reagentu-pirkimo-byloje-baigta-liudytoju-apklausa	500
LRT_POL_001	Politika	Analitikas apie rinkimus Taivane ir Kinijos reakciją: Vašingtonas nenori dar vieno konflikto	2024.01.15	https://www.lrt.lt/naujienos/pasaulyje/6/2171308/analitikas-apie-rinkimus-taivane-ir-kinijos-reakcija-vasingtonas-nenori-dar-vieno-konflikto	908
LRT_POL_002	Politika	Pirmasis Trumpo populiarumo testas – Ajovos valstijos respublikonai rinks kandidatą į JAV prezidentus 	2024.01.15	https://www.lrt.lt/naujienos/pasaulyje/6/2170930/pirmasis-trumpo-populiarumo-testas-ajovos-valstijos-respublikonai-rinks-kandidata-i-jav-prezidentus	576
LRT_POL_003	Politika	Budrys: Rusijos sprendimas pašalinti demarkacinius plūdurus Narvos upėje yra provokatyvus	2024.05.28	https://www.lrt.lt/naujienos/pasaulyje/6/2283657/budrys-rusijos-sprendimas-pasalinti-demarkacinius-pludurus-narvos-upeje-yra-provokatyvus	221
LRT_POL_004	Politika	Tyrimas: Janukovyčiaus laikų Ukrainos pareigūnai investavo į slaptą NT Dubajuje	2024.05.27	https://www.lrt.lt/naujienos/pasaulyje/6/2279835/tyrimas-janukovyciaus-laiku-ukrainos-pareigunai-investavo-i-slapta-nt-dubajuje	1497
LRT_POL_005	Politika	Tyrimas: Kremliaus dezinformacija pasiekia apie 300 tūkst. šalies gyventojų – dalis gali radikalizuotis	2023.12.23 	https://www.lrt.lt/naujienos/lietuvoje/2/2157344/tyrimas-kremliaus-dezinformacija-pasiekia-apie-300-tukst-salies-gyventoju-dalis-gali-radikalizuotis	464
LRT_POL_006	Politika	Ieškiniai Stepukoniui viršys 30 mln. eurų, Gustainis žada tyrimo išvadas vasarį	2024.02.06	https://www.lrt.lt/naujienos/verslas/4/2188947/ieskiniai-stepukoniui-virsys-30-mln-euru-gustainis-zada-tyrimo-isvadas-vasari	539
LRT_POL_007	Politika	Tyrimas rodo, kad 30 proc. lietuvių pasiryžę šalį ginti ginklu, bet neramina susiskaldymas	2023.12.07	https://www.lrt.lt/naujienos/lietuvoje/2/2143416/tyrimas-rodo-kad-30-proc-lietuviu-pasiryze-sali-ginti-ginklu-bet-neramina-susiskaldymas	998
LRT_POL_008	Politika	Tarptautinis tyrimas: kaip nešvarūs pinigai nugula Dubajuje	2024.05.14	https://www.lrt.lt/naujienos/verslas/4/2272881/tarptautinis-tyrimas-kaip-nesvarus-pinigai-nugula-dubajuje	1150
LRT_POL_009	Politika	Žurnalistinis tyrimas: Vėgėlės šeimos versle – sankcijų apėjimo šešėlis	2024.04.24	https://www.lrt.lt/naujienos/lietuvoje/2/2258295/zurnalistinis-tyrimas-vegeles-seimos-versle-sankciju-apejimo-seselis	2067
LRT_POL_010	Politika	Kabišaitis: tyrimas dėl prezidentūros veiksmų skiriant teisėjus turėtų apimti ir Teisėjų tarybos veiklą	2024.03.29	https://www.lrt.lt/naujienos/lietuvoje/2/2238008/kabisaitis-tyrimas-del-prezidenturos-veiksmu-skiriant-teisejus-turetu-apimti-ir-teiseju-tarybos-veikla	442
LRT_POL_011	Politika	Pradėtas tyrimas dėl prezidentūros siūlymų, teikiant kandidatus į teisėjus	2024.03.29	https://www.lrt.lt/naujienos/lietuvoje/2/2237730/pradetas-tyrimas-del-prezidenturos-siulymu-teikiant-kandidatus-i-teisejus	844
LRT_POL_012	Politika	Tyrimas: baltarusiška mediena toliau patenka į Lietuvą ir visą ES	2024.04.02	https://www.lrt.lt/naujienos/verslas/4/2240086/tyrimas-baltarusiska-mediena-toliau-patenka-i-lietuva-ir-visa-es	549
LRT_POL_013	Politika	Po tyrimo. Kreivio akcijų istorijoje padėtas taškas, bet neatskleidžiama, kodėl	2024.05.16	https://www.lrt.lt/naujienos/lrt-tyrimai/5/2273532/po-tyrimo-kreivio-akciju-istorijoje-padetas-taskas-bet-neatskleidziama-kodel	872
LRT_POL_014	Politika	LRT tyrimas. Kremlius kala pleištą tarp Baltijos šalių ir senosios Europos	2024.05.06	https://www.lrt.lt/naujienos/lrt-tyrimai/5/2265690/lrt-tyrimas-kremlius-kala-pleista-tarp-baltijos-saliu-ir-senosios-europos	2595
LRT_POL_015	Politika	LRT tyrimas. Matijošaičio verslas į Rusiją vežė kare pritaikomas prekes	2024.04.09	https://www.lrt.lt/naujienos/lrt-tyrimai/5/2244798/lrt-tyrimas-matijosaicio-verslas-i-rusija-veze-kare-pritaikomas-prekes	1469
LRT_POL_016	Politika	Tankų rebusas dar neišspręstas: Kasčiūnas neduoda garantijų dėl jų ateities	2024.04.04	https://www.lrt.lt/naujienos/lrt-tyrimai/5/2241717/tanku-rebusas-dar-neissprestas-kasciunas-neduoda-garantiju-del-ju-ateities	3617
LRT_POL_017	Politika	LRT tyrimas. Socialdemokratų žvaigždė gynybai pasitelkė įtakingus advokatus: darbo jiems davė ir jo atstovaujamos savivaldybės valdoma įmonė	2024.03.14	https://www.lrt.lt/naujienos/lrt-tyrimai/5/2221546/lrt-tyrimas-socialdemokratu-zvaigzde-gynybai-pasitelke-itakingus-advokatus-darbo-jiems-dave-ir-jo-atstovaujamos-savivaldybes-valdoma-imone	1873
LRT_POL_018	Politika	Pokalbių klubas, kur skambios kalbos lieka tik kalbomis – nevyriausybinės organizacijos abejoja Davoso forumo naudingumu	2024.01.15	https://www.lrt.lt/naujienos/pasaulyje/6/2171447/pokalbiu-klubas-kur-skambios-kalbos-lieka-tik-kalbomis-nevyriausybines-organizacijos-abejoja-davoso-forumo-naudingumu	429
LRT_SOC_001	Kita	Psichoterapeutė apie priklausomybę: pačiam susitvarkyti dažniausiai neįmanoma	2024.02.11 	https://www.lrt.lt/naujienos/gyvenimas/13/2189555/psichoterapeute-apie-priklausomybe-paciam-susitvarkyti-dazniausiai-neimanoma	558
LRT_SOC_002	Kita	Ekspertų priekaištai siūlymui riboti elektroninę muziką: departamentas kalba kaip ateiviai	2024.05.25	https://www.lrt.lt/naujienos/lietuvoje/2/2279633/ekspertu-priekaistai-siulymui-riboti-elektronine-muzika-departamentas-kalba-kaip-ateiviai	891
LRT_SOC_003	Kita	Atviruose baseinų dušuose – nemaloni praktika: ar normalu, kad vaikai priversti sukiotis tarp nuogų suaugusiųjų?	2024.04.01	https://www.lrt.lt/naujienos/lietuvoje/2/2218435/atviruose-baseinu-dusuose-nemaloni-praktika-ar-normalu-kad-vaikai-priversti-sukiotis-tarp-nuogu-suaugusiuju	1067
LRT_SOC_004	Kita	Lietuvos autizmo asociacija „Lietaus vaikai“ kviečia paminėti autizmo mėnesį	2024.03.28	https://www.lrt.lt/naujienos/gyvenimas/13/2236356/lietuvos-autizmo-asociacija-lietaus-vaikai-kviecia-pamineti-autizmo-menesi	913
LRT_SOC_005	Kita	Eskedar apie vaikystę Etiopijoje ir santykius su savo vaikais: suprantu, kad tobulos tėvystės nėra	2023.12.30	https://www.lrt.lt/naujienos/veidai/14/2150786/eskedar-apie-vaikyste-etiopijoje-ir-santykius-su-savo-vaikais-suprantu-kad-tobulos-tevystes-nera	815
LRT_SOC_006	Kita	Nuo pedagogikos į Tenerifę pabėgusi Dora save joje atrado dar kartą: „Supratau, kad man skirta dirbti su vaikais“	2023.12.25 	https://www.lrt.lt/lituanica/istorijos/752/2139558/nuo-pedagogikos-i-tenerife-pabegusi-dora-save-joje-atrado-dar-karta-supratau-kad-man-skirta-dirbti-su-vaikais	658
LRT_SOC_007	Kita	Režisierius Agnius Jankevičius: politika, religija, seksas – visada rezonuojančios temos	2024.04.26 	https://www.lrt.lt/naujienos/kultura/12/2260394/rezisierius-agnius-jankevicius-politika-religija-seksas-visada-rezonuojancios-temos	1107
LRT_SOC_008	Kita	Režisierė Plioplytė: apie mėnesines svarbu žinoti ne tik moterims, bet ir vyrams	2024.05.18	https://www.lrt.lt/naujienos/kultura/12/2273731/rezisiere-plioplyte-apie-menesines-svarbu-zinoti-ne-tik-moterims-bet-ir-vyrams	2903
LRT_SOC_009	Kita	Dingusios 9-metės paieška: apie 200 žmonių ieško mieste ir už jo ribų, tarp versijų – pagrobimas	2024.01.08 	https://www.lrt.lt/naujienos/lietuvoje/2/2165627/dingusios-9-metes-paieska-apie-200-zmoniu-iesko-mieste-ir-uz-jo-ribu-tarp-versiju-pagrobimas	1117
LRT_SOC_010	Kita	Kauno policijos vadas – apie pagrobto vaiko dramą: paveikslas pradėjo dėliotis po žinios apie mergaitės klyksmą	2024.02.12 	https://www.lrt.lt/naujienos/lietuvoje/2/2192090/kauno-policijos-vadas-apie-pagrobto-vaiko-drama-paveikslas-pradejo-deliotis-po-zinios-apie-mergaites-klyksma	2376
LRT_SOC_011	Kita	Kaunas nėra išskirtinis – žemės grąžinimo procese institucijos staiga apanka, o savininkus atakuoja interesų grupės	2024.02.14	https://www.lrt.lt/naujienos/lrt-tyrimai/5/2195141/kaunas-nera-isskirtinis-zemes-grazinimo-procese-institucijos-staiga-apanka-o-savininkus-atakuoja-interesu-grupes	2512
